Date,England,London,South_of_England,North_of_England,Midlands_and_East_of_England
2020-03-20T00:00:00Z,1580,841,250,212,277
2020-03-21T00:00:00Z,2152,1081,432,286,353
2020-03-22T00:00:00Z,2670,1266,579,348,477
2020-03-23T00:00:00Z,3183,1559,626,427,571
2020-03-24T00:00:00Z,3598,1705,675,480,738
2020-03-25T00:00:00Z,4402,2051,820,644,887
2020-03-26T00:00:00Z,5226,2244,902,815,1265
2020-03-27T00:00:00Z,6462,2829,1123,1105,1405
2020-03-28T00:00:00Z,7269,3114,1222,1366,1567
2020-03-29T00:00:00Z,8424,3464,1503,1645,1812
2020-03-30T00:00:00Z,9852,3638,1776,1977,2461
2020-03-31T00:00:00Z,11154,4073,2069,2267,2745
2020-04-01T00:00:00Z,12059,4219,2071,2744,3025
2020-04-02T00:00:00Z,12135,4168,2367,2908,2692
2020-04-03T00:00:00Z,13635,4092,2392,3555,3596
2020-04-04T00:00:00Z,15469,4691,2636,4229,3913
2020-04-05T00:00:00Z,16657,4869,2876,4591,4321
2020-04-06T00:00:00Z,17154,5058,2968,4658,4470
2020-04-07T00:00:00Z,17814,5025,3201,4829,4759
2020-04-08T00:00:00Z,18152,5198,3215,4989,4750
2020-04-09T00:00:00Z,17826,4604,3125,5415,4682
2020-04-10T00:00:00Z,18669,5168,3283,5304,4914
2020-04-11T00:00:00Z,18604,4910,3273,5528,4893
2020-04-12T00:00:00Z,18974,4931,3379,5555,5109
2020-04-13T00:00:00Z,18621,4799,3393,5642,4787
2020-04-14T00:00:00Z,18552,4621,3423,5571,4937
2020-04-15T00:00:00Z,17934,4509,3342,5361,4722
2020-04-16T00:00:00Z,17783,4395,3297,5419,4672
2020-04-17T00:00:00Z,16728,4219,3258,4902,4349
2020-04-18T00:00:00Z,16850,3993,3274,5160,4423
2020-04-19T00:00:00Z,16928,4021,3300,5145,4462
2020-04-20T00:00:00Z,16654,3940,3258,5026,4430
2020-04-21T00:00:00Z,16517,3922,3166,5040,4389
2020-04-22T00:00:00Z,16018,3768,3127,4857,4266
2020-04-23T00:00:00Z,15402,3510,2939,4759,4194
2020-04-24T00:00:00Z,14642,3281,2777,4622,3962
2020-04-25T00:00:00Z,14202,3198,2692,4560,3752
2020-04-26T00:00:00Z,14174,3115,2598,4490,3971
2020-04-27T00:00:00Z,14255,3117,2623,4560,3955
2020-04-28T00:00:00Z,13565,2794,2579,4368,3824
2020-04-29T00:00:00Z,13224,2811,2390,4386,3637
2020-04-30T00:00:00Z,12922,2703,2364,4294,3561
2020-05-01T00:00:00Z,12623,2596,2326,4271,3430
2020-05-02T00:00:00Z,12314,2432,2202,4292,3388
2020-05-03T00:00:00Z,12119,2390,2204,4141,3384
2020-05-04T00:00:00Z,12020,2328,2236,4164,3292
2020-05-05T00:00:00Z,11754,2270,2169,4055,3260
2020-05-06T00:00:00Z,11227,2154,2035,3862,3176
2020-05-07T00:00:00Z,10726,2086,1930,3650,3060
2020-05-08T00:00:00Z,10249,1955,1807,3548,2939
2020-05-09T00:00:00Z,10176,1971,1741,3511,2953
2020-05-10T00:00:00Z,9893,1889,1701,3338,2965
2020-05-11T00:00:00Z,10109,1880,1731,3514,2984
2020-05-12T00:00:00Z,9791,1827,1669,3377,2918
