date,hospitalCases
24/01/2022,17162
23/01/2022,16920
22/01/2022,16953
21/01/2022,17560
20/01/2022,18013
19/01/2022,18553
18/01/2022,19044
17/01/2022,19524
16/01/2022,19295
15/01/2022,19175
14/01/2022,19425
13/01/2022,19646
12/01/2022,19820
11/01/2022,19860
10/01/2022,19957
09/01/2022,19154
08/01/2022,18714
07/01/2022,18785
06/01/2022,18605
05/01/2022,18134
04/01/2022,17412
03/01/2022,16421
02/01/2022,15231
01/01/2022,14597
31/12/2021,14268
30/12/2021,13236
29/12/2021,12045
28/12/2021,10998
27/12/2021,9839
26/12/2021,8819
25/12/2021,8404
24/12/2021,8598
23/12/2021,8377
22/12/2021,8342
21/12/2021,8124
20/12/2021,7909
19/12/2021,7666
18/12/2021,7510
17/12/2021,7575
16/12/2021,7699
15/12/2021,7681
14/12/2021,7758
13/12/2021,7761
12/12/2021,7542
11/12/2021,7419
10/12/2021,7454
09/12/2021,7502
08/12/2021,7434
07/12/2021,7416
06/12/2021,7432
05/12/2021,7324
04/12/2021,7221
03/12/2021,7367
02/12/2021,7458
01/12/2021,7386
30/11/2021,7714
29/11/2021,7705
28/11/2021,7475
27/11/2021,7445
26/11/2021,7599
25/11/2021,7698
24/11/2021,7707
23/11/2021,7954
22/11/2021,8168
21/11/2021,8074
20/11/2021,7979
19/11/2021,8099
18/11/2021,8151
17/11/2021,8250
16/11/2021,8499
15/11/2021,8777
14/11/2021,8619
13/11/2021,8532
12/11/2021,8669
11/11/2021,8762
10/11/2021,8915
09/11/2021,8986
08/11/2021,9034
07/11/2021,8883
06/11/2021,8863
05/11/2021,9108
04/11/2021,9309
03/11/2021,9452
02/11/2021,9668
01/11/2021,9686
31/10/2021,9440
30/10/2021,9288
29/10/2021,9236
28/10/2021,9139
27/10/2021,9061
26/10/2021,8955
25/10/2021,8836
24/10/2021,8512
23/10/2021,8343
22/10/2021,8349
21/10/2021,8364
20/10/2021,8270
19/10/2021,8014
18/10/2021,7865
17/10/2021,7496
16/10/2021,7225
15/10/2021,7199
14/10/2021,7185
13/10/2021,7128
12/10/2021,7113
11/10/2021,7083
10/10/2021,6929
09/10/2021,6758
08/10/2021,6814
07/10/2021,6835
06/10/2021,6885
05/10/2021,6900
04/10/2021,6824
03/10/2021,6633
02/10/2021,6476
01/10/2021,6625
30/09/2021,6793
29/09/2021,6937
28/09/2021,7050
27/09/2021,7068
26/09/2021,6837
25/09/2021,6976
24/09/2021,6930
23/09/2021,7182
22/09/2021,7430
21/09/2021,7637
20/09/2021,7810
19/09/2021,7759
18/09/2021,7708
17/09/2021,7919
16/09/2021,8126
15/09/2021,8408
14/09/2021,8402
13/09/2021,8479
12/09/2021,8256
11/09/2021,8146
10/09/2021,8318
09/09/2021,8147
08/09/2021,8138
07/09/2021,7982
06/09/2021,8038
05/09/2021,7752
04/09/2021,7557
03/09/2021,7672
02/09/2021,7623
01/09/2021,7683
31/08/2021,7679
30/08/2021,7341
29/08/2021,7112
28/08/2021,6982
27/08/2021,7087
26/08/2021,7033
25/08/2021,6988
24/08/2021,6962
23/08/2021,7020
22/08/2021,6750
21/08/2021,6532
20/08/2021,6521
19/08/2021,6509
18/08/2021,6465
17/08/2021,6407
16/08/2021,6383
15/08/2021,6046
14/08/2021,5885
13/08/2021,5988
12/08/2021,5960
11/08/2021,6005
10/08/2021,6020
09/08/2021,6018
08/08/2021,5857
07/08/2021,5704
06/08/2021,5753
05/08/2021,5755
04/08/2021,5792
03/08/2021,6006
02/08/2021,6215
01/08/2021,5982
31/07/2021,5958
30/07/2021,6019
29/07/2021,5986
28/07/2021,6107
27/07/2021,6098
26/07/2021,6004
25/07/2021,5648
24/07/2021,5379
23/07/2021,5312
22/07/2021,5102
21/07/2021,4930
20/07/2021,4742
19/07/2021,4651
18/07/2021,4347
17/07/2021,4231
16/07/2021,4151
15/07/2021,4038
14/07/2021,3857
13/07/2021,3673
12/07/2021,3458
11/07/2021,3182
10/07/2021,3036
09/07/2021,2939
08/07/2021,2768
07/07/2021,2681
06/07/2021,2486
05/07/2021,2364
04/07/2021,2178
03/07/2021,2058
02/07/2021,2014
01/07/2021,1937
30/06/2021,1827
29/06/2021,1748
28/06/2021,1745
27/06/2021,1607
26/06/2021,1546
25/06/2021,1539
24/06/2021,1518
23/06/2021,1497
22/06/2021,1543
21/06/2021,1519
20/06/2021,1385
19/06/2021,1350
18/06/2021,1365
17/06/2021,1323
16/06/2021,1258
15/06/2021,1233
14/06/2021,1182
13/06/2021,1141
12/06/2021,1106
11/06/2021,1077
10/06/2021,1095
09/06/2021,1064
08/06/2021,1057
07/06/2021,1035
06/06/2021,964
05/06/2021,938
04/06/2021,965
03/06/2021,938
02/06/2021,961
01/06/2021,930
31/05/2021,929
30/05/2021,907
29/05/2021,887
28/05/2021,886
27/05/2021,872
26/05/2021,895
25/05/2021,921
24/05/2021,960
23/05/2021,924
22/05/2021,887
21/05/2021,922
20/05/2021,912
19/05/2021,918
18/05/2021,898
17/05/2021,943
16/05/2021,941
15/05/2021,966
14/05/2021,976
13/05/2021,1001
12/05/2021,1068
11/05/2021,1106
10/05/2021,1129
09/05/2021,1118
08/05/2021,1137
07/05/2021,1157
06/05/2021,1159
05/05/2021,1239
04/05/2021,1295
03/05/2021,1303
02/05/2021,1285
01/05/2021,1287
30/04/2021,1366
29/04/2021,1464
28/04/2021,1515
27/04/2021,1572
26/04/2021,1649
25/04/2021,1626
24/04/2021,1673
23/04/2021,1749
