date,hospitalCases
27/01/2022,13651
26/01/2022,13948
25/01/2022,14088
24/01/2022,14563
23/01/2022,14334
22/01/2022,14320
21/01/2022,14865
20/01/2022,15302
19/01/2022,15742
18/01/2022,16218
17/01/2022,16621
16/01/2022,16372
15/01/2022,16281
14/01/2022,16537
13/01/2022,16716
12/01/2022,16881
11/01/2022,16939
10/01/2022,17120
09/01/2022,16399
08/01/2022,16034
07/01/2022,16163
06/01/2022,16058
05/01/2022,15659
04/01/2022,15044
03/01/2022,14210
02/01/2022,13151
01/01/2022,12615
31/12/2021,12395
30/12/2021,11452
29/12/2021,10462
28/12/2021,9546
27/12/2021,8474
26/12/2021,7536
25/12/2021,7166
24/12/2021,7366
23/12/2021,7114
22/12/2021,7080
21/12/2021,6902
20/12/2021,6688
19/12/2021,6434
18/12/2021,6287
17/12/2021,6321
16/12/2021,6405
15/12/2021,6358
14/12/2021,6434
13/12/2021,6395
12/12/2021,6223
11/12/2021,6095
10/12/2021,6088
09/12/2021,6130
08/12/2021,6053
07/12/2021,6027
06/12/2021,5992
05/12/2021,5903
04/12/2021,5784
03/12/2021,5851
02/12/2021,5915
01/12/2021,5829
30/11/2021,6123
29/11/2021,6094
28/11/2021,5890
27/11/2021,5852
26/11/2021,5992
25/11/2021,6068
24/11/2021,6062
23/11/2021,6257
22/11/2021,6424
21/11/2021,6322
20/11/2021,6191
19/11/2021,6310
18/11/2021,6336
17/11/2021,6412
16/11/2021,6623
15/11/2021,6864
14/11/2021,6707
13/11/2021,6639
12/11/2021,6777
11/11/2021,6861
10/11/2021,6961
09/11/2021,7053
08/11/2021,7075
07/11/2021,6910
06/11/2021,6874
05/11/2021,7072
04/11/2021,7201
03/11/2021,7291
02/11/2021,7510
01/11/2021,7535
31/10/2021,7311
30/10/2021,7155
29/10/2021,7113
28/10/2021,7019
27/10/2021,6951
26/10/2021,6883
25/10/2021,6801
24/10/2021,6515
23/10/2021,6386
22/10/2021,6405
21/10/2021,6366
20/10/2021,6299
19/10/2021,6099
18/10/2021,5938
17/10/2021,5623
16/10/2021,5385
15/10/2021,5363
14/10/2021,5289
13/10/2021,5246
12/10/2021,5213
11/10/2021,5206
10/10/2021,5077
09/10/2021,4921
08/10/2021,4975
07/10/2021,4962
06/10/2021,5009
05/10/2021,5006
04/10/2021,4909
03/10/2021,4778
02/10/2021,4652
01/10/2021,4799
30/09/2021,4916
29/09/2021,5017
28/09/2021,5126
27/09/2021,5121
26/09/2021,4949
25/09/2021,5100
24/09/2021,5036
23/09/2021,5214
22/09/2021,5406
21/09/2021,5543
20/09/2021,5727
19/09/2021,5695
18/09/2021,5688
17/09/2021,5910
16/09/2021,6081
15/09/2021,6306
14/09/2021,6344
13/09/2021,6424
12/09/2021,6253
11/09/2021,6206
10/09/2021,6400
09/09/2021,6254
08/09/2021,6302
07/09/2021,6244
06/09/2021,6375
05/09/2021,6167
04/09/2021,6043
03/09/2021,6195
02/09/2021,6186
01/09/2021,6236
31/08/2021,6293
30/08/2021,6002
29/08/2021,5855
28/08/2021,5756
27/08/2021,5889
26/08/2021,5893
25/08/2021,5922
24/08/2021,5911
23/08/2021,6000
22/08/2021,5749
21/08/2021,5575
20/08/2021,5576
19/08/2021,5554
18/08/2021,5514
17/08/2021,5437
16/08/2021,5429
15/08/2021,5115
14/08/2021,4973
13/08/2021,5076
12/08/2021,5029
11/08/2021,5073
10/08/2021,5096
09/08/2021,5098
08/08/2021,4939
07/08/2021,4817
06/08/2021,4879
05/08/2021,4894
04/08/2021,4944
03/08/2021,5116
02/08/2021,5309
01/08/2021,5090
31/07/2021,5057
30/07/2021,5111
29/07/2021,5056
28/07/2021,5182
27/07/2021,5163
26/07/2021,5055
25/07/2021,4725
24/07/2021,4476
23/07/2021,4401
22/07/2021,4230
21/07/2021,4063
20/07/2021,3894
19/07/2021,3813
18/07/2021,3546
17/07/2021,3442
16/07/2021,3367
15/07/2021,3241
14/07/2021,3110
13/07/2021,2970
12/07/2021,2798
11/07/2021,2564
10/07/2021,2429
09/07/2021,2352
08/07/2021,2209
07/07/2021,2144
06/07/2021,1998
05/07/2021,1888
04/07/2021,1744
03/07/2021,1636
02/07/2021,1611
01/07/2021,1560
30/06/2021,1500
29/06/2021,1445
28/06/2021,1465
27/06/2021,1331
26/06/2021,1276
25/06/2021,1284
24/06/2021,1274
23/06/2021,1255
22/06/2021,1301
21/06/2021,1290
20/06/2021,1168
19/06/2021,1143
18/06/2021,1170
17/06/2021,1122
16/06/2021,1057
15/06/2021,1030
14/06/2021,993
13/06/2021,947
12/06/2021,915
11/06/2021,884
10/06/2021,906
09/06/2021,876
08/06/2021,879
07/06/2021,860
06/06/2021,807
05/06/2021,782
04/06/2021,805
03/06/2021,779
02/06/2021,801
01/06/2021,776
31/05/2021,773
30/05/2021,755
29/05/2021,748
28/05/2021,743
27/05/2021,742
26/05/2021,745
25/05/2021,765
24/05/2021,797
23/05/2021,756
22/05/2021,730
21/05/2021,766
20/05/2021,749
19/05/2021,757
18/05/2021,749
17/05/2021,798
16/05/2021,801
15/05/2021,810
14/05/2021,818
13/05/2021,845
12/05/2021,907
11/05/2021,921
10/05/2021,944
09/05/2021,933
08/05/2021,948
07/05/2021,973
06/05/2021,976
05/05/2021,1032
04/05/2021,1093
03/05/2021,1096
02/05/2021,1082
01/05/2021,1071
30/04/2021,1161
29/04/2021,1235
28/04/2021,1278
27/04/2021,1310
26/04/2021,1393
25/04/2021,1377
24/04/2021,1401
23/04/2021,1478
22/04/2021,1523
21/04/2021,1609
20/04/2021,1649
19/04/2021,1732
18/04/2021,1691
17/04/2021,1735
16/04/2021,1844
15/04/2021,1885
14/04/2021,1972
13/04/2021,2057
12/04/2021,2108
11/04/2021,2096
10/04/2021,2190
09/04/2021,2321
08/04/2021,2382
07/04/2021,2486
06/04/2021,2588
05/04/2021,2680
04/04/2021,2672
03/04/2021,2677
