ccg_code,ccg_name,cancer_type,total_treated,within_standard,braches,performance,standard,period
13Q,NATIONAL COMMISSIONING HUB 1,ALL SUSPECTED CANCER,97,88,9,0.90721649484536104,ALL CANCERS TWO WEEK WAIT,2020-04-01
07L,NHS BARKING AND DAGENHAM CCG,ALL SUSPECTED CANCER,235,155,80,0.659574468085106,ALL CANCERS TWO WEEK WAIT,2020-04-01
02P,NHS BARNSLEY CCG,ALL SUSPECTED CANCER,475,440,35,0.92631578947368398,ALL CANCERS TWO WEEK WAIT,2020-04-01
99E,NHS BASILDON AND BRENTWOOD CCG,ALL SUSPECTED CANCER,459,422,37,,ALL CANCERS TWO WEEK WAIT,2020-04-01
02Q,NHS BASSETLAW CCG,ALL SUSPECTED CANCER,166,155,11,,ALL CANCERS TWO WEEK WAIT,2020-04-01
92G,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE CCG",ALL SUSPECTED CANCER,1384,1187,197,0.85765895953757199,ALL CANCERS TWO WEEK WAIT,2020-04-01
06F,NHS BEDFORDSHIRE CCG,ALL SUSPECTED CANCER,756,638,118,0.84391534391534395,ALL CANCERS TWO WEEK WAIT,2020-04-01
15A,NHS BERKSHIRE WEST CCG,ALL SUSPECTED CANCER,532,500,32,0.93984962406015005,ALL CANCERS TWO WEEK WAIT,2020-04-01
15E,NHS BIRMINGHAM AND SOLIHULL CCG,ALL SUSPECTED CANCER,1184,811,373,0.68496621621621601,ALL CANCERS TWO WEEK WAIT,2020-04-01
00Q,NHS BLACKBURN WITH DARWEN CCG,ALL SUSPECTED CANCER,206,175,31,,ALL CANCERS TWO WEEK WAIT,2020-04-01
00R,NHS BLACKPOOL CCG,ALL SUSPECTED CANCER,267,238,29,0.89138576779026202,ALL CANCERS TWO WEEK WAIT,2020-04-01
00T,NHS BOLTON CCG,ALL SUSPECTED CANCER,357,343,14,0.96078431372549,ALL CANCERS TWO WEEK WAIT,2020-04-01
36J,NHS BRADFORD DISTRICT AND CRAVEN CCG,ALL SUSPECTED CANCER,893,779,114,0.87234042553191504,ALL CANCERS TWO WEEK WAIT,2020-04-01
07P,NHS BRENT CCG,ALL SUSPECTED CANCER,369,332,37,0.89972899728997302,ALL CANCERS TWO WEEK WAIT,2020-04-01
09D,NHS BRIGHTON AND HOVE CCG,ALL SUSPECTED CANCER,537,446,91,0.83054003724394798,ALL CANCERS TWO WEEK WAIT,2020-04-01
15C,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE CCG",ALL SUSPECTED CANCER,1663,1343,320,0.80757666867107603,ALL CANCERS TWO WEEK WAIT,2020-04-01
14Y,NHS BUCKINGHAMSHIRE CCG,ALL SUSPECTED CANCER,713,597,116,0.83730715287517499,ALL CANCERS TWO WEEK WAIT,2020-04-01
00V,NHS BURY CCG,ALL SUSPECTED CANCER,377,310,67,0.82228116710875299,ALL CANCERS TWO WEEK WAIT,2020-04-01
02T,NHS CALDERDALE CCG,ALL SUSPECTED CANCER,314,307,7,0.97770700636942698,ALL CANCERS TWO WEEK WAIT,2020-04-01
06H,NHS CAMBRIDGESHIRE AND PETERBOROUGH CCG,ALL SUSPECTED CANCER,1291,1138,153,0.88148721920991502,ALL CANCERS TWO WEEK WAIT,2020-04-01
04Y,NHS CANNOCK CHASE CCG,ALL SUSPECTED CANCER,210,199,11,0.94761904761904803,ALL CANCERS TWO WEEK WAIT,2020-04-01
99F,NHS CASTLE POINT AND ROCHFORD CCG,ALL SUSPECTED CANCER,222,208,14,,ALL CANCERS TWO WEEK WAIT,2020-04-01
09A,NHS CENTRAL LONDON (WESTMINSTER) CCG,ALL SUSPECTED CANCER,204,182,22,0.89215686274509798,ALL CANCERS TWO WEEK WAIT,2020-04-01
27D,NHS CHESHIRE CCG,ALL SUSPECTED CANCER,1107,983,124,0.88798554652213202,ALL CANCERS TWO WEEK WAIT,2020-04-01
00X,NHS CHORLEY AND SOUTH RIBBLE CCG,ALL SUSPECTED CANCER,299,291,8,0.97324414715719099,ALL CANCERS TWO WEEK WAIT,2020-04-01
07T,NHS CITY AND HACKNEY CCG,ALL SUSPECTED CANCER,362,316,46,0.87292817679557999,ALL CANCERS TWO WEEK WAIT,2020-04-01
