ccg_code,ccg_name,cancer_type,total_treated,within_standard,braches,performance,standard,period
13Q,NATIONAL COMMISSIONING HUB 1,ALL SUSPECTED CANCER,186,152,34,0.817204301075269,ALL CANCERS TWO WEEK WAIT,2021-08-01
02P,NHS BARNSLEY CCG,ALL SUSPECTED CANCER,895,829,66,0.926256983240223,ALL CANCERS TWO WEEK WAIT,2021-08-01
99E,NHS BASILDON AND BRENTWOOD CCG,ALL SUSPECTED CANCER,1172,872,300,,ALL CANCERS TWO WEEK WAIT,2021-08-01
02Q,NHS BASSETLAW CCG,ALL SUSPECTED CANCER,366,333,33,,ALL CANCERS TWO WEEK WAIT,2021-08-01
92G,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE CCG",ALL SUSPECTED CANCER,3283,2612,671,0.795613767895218,ALL CANCERS TWO WEEK WAIT,2021-08-01
M1J4Y,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES CCG",ALL SUSPECTED CANCER,3445,2942,503,0.853991291727141,ALL CANCERS TWO WEEK WAIT,2021-08-01
15A,NHS BERKSHIRE WEST CCG,ALL SUSPECTED CANCER,1755,1416,339,0.806837606837607,ALL CANCERS TWO WEEK WAIT,2021-08-01
15E,NHS BIRMINGHAM AND SOLIHULL CCG,ALL SUSPECTED CANCER,3712,3346,366,0.901400862068966,ALL CANCERS TWO WEEK WAIT,2021-08-01
D2P2L,NHS BLACK COUNTRY AND WEST BIRMINGHAM CCG,ALL SUSPECTED CANCER,4436,3812,624,0.859332732191163,ALL CANCERS TWO WEEK WAIT,2021-08-01
00Q,NHS BLACKBURN WITH DARWEN CCG,ALL SUSPECTED CANCER,579,512,67,,ALL CANCERS TWO WEEK WAIT,2021-08-01
00R,NHS BLACKPOOL CCG,ALL SUSPECTED CANCER,689,631,58,0.915820029027576,ALL CANCERS TWO WEEK WAIT,2021-08-01
00T,NHS BOLTON CCG,ALL SUSPECTED CANCER,1042,1011,31,0.970249520153551,ALL CANCERS TWO WEEK WAIT,2021-08-01
36J,NHS BRADFORD DISTRICT AND CRAVEN CCG,ALL SUSPECTED CANCER,1990,1891,99,0.950251256281407,ALL CANCERS TWO WEEK WAIT,2021-08-01
09D,NHS BRIGHTON AND HOVE CCG,ALL SUSPECTED CANCER,1076,1027,49,0.954460966542751,ALL CANCERS TWO WEEK WAIT,2021-08-01
15C,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE CCG",ALL SUSPECTED CANCER,3241,2459,782,0.7587164455415,ALL CANCERS TWO WEEK WAIT,2021-08-01
14Y,NHS BUCKINGHAMSHIRE CCG,ALL SUSPECTED CANCER,2051,1918,133,0.935153583617747,ALL CANCERS TWO WEEK WAIT,2021-08-01
00V,NHS BURY CCG,ALL SUSPECTED CANCER,776,624,152,0.804123711340206,ALL CANCERS TWO WEEK WAIT,2021-08-01
