ccg_code,ccg_name,cancer_type,total_treated,within_standard,braches,performance,standard,period
13Q,NATIONAL COMMISSIONING HUB 1,ALL SUSPECTED CANCER,202,179,23,0.88613861386138604,ALL CANCERS TWO WEEK WAIT,2020-12-01
07L,NHS BARKING AND DAGENHAM CCG,ALL SUSPECTED CANCER,550,522,28,0.94909090909090899,ALL CANCERS TWO WEEK WAIT,2020-12-01
02P,NHS BARNSLEY CCG,ALL SUSPECTED CANCER,988,947,41,0.958502024291498,ALL CANCERS TWO WEEK WAIT,2020-12-01
99E,NHS BASILDON AND BRENTWOOD CCG,ALL SUSPECTED CANCER,1072,1009,63,,ALL CANCERS TWO WEEK WAIT,2020-12-01
02Q,NHS BASSETLAW CCG,ALL SUSPECTED CANCER,437,345,92,,ALL CANCERS TWO WEEK WAIT,2020-12-01
92G,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE CCG",ALL SUSPECTED CANCER,3377,2700,677,0.79952620669232999,ALL CANCERS TWO WEEK WAIT,2020-12-01
06F,NHS BEDFORDSHIRE CCG,ALL SUSPECTED CANCER,1692,1406,286,0.83096926713948005,ALL CANCERS TWO WEEK WAIT,2020-12-01
15A,NHS BERKSHIRE WEST CCG,ALL SUSPECTED CANCER,1491,1370,121,0.91884641180415805,ALL CANCERS TWO WEEK WAIT,2020-12-01
15E,NHS BIRMINGHAM AND SOLIHULL CCG,ALL SUSPECTED CANCER,3115,1619,1496,0.51974317817014404,ALL CANCERS TWO WEEK WAIT,2020-12-01
00Q,NHS BLACKBURN WITH DARWEN CCG,ALL SUSPECTED CANCER,486,459,27,,ALL CANCERS TWO WEEK WAIT,2020-12-01
00R,NHS BLACKPOOL CCG,ALL SUSPECTED CANCER,645,618,27,0.95813953488372094,ALL CANCERS TWO WEEK WAIT,2020-12-01
00T,NHS BOLTON CCG,ALL SUSPECTED CANCER,1013,961,52,0.94866732477788795,ALL CANCERS TWO WEEK WAIT,2020-12-01
36J,NHS BRADFORD DISTRICT AND CRAVEN CCG,ALL SUSPECTED CANCER,2076,1962,114,0.94508670520231197,ALL CANCERS TWO WEEK WAIT,2020-12-01
07P,NHS BRENT CCG,ALL SUSPECTED CANCER,1097,1027,70,0.93618960802187801,ALL CANCERS TWO WEEK WAIT,2020-12-01
09D,NHS BRIGHTON AND HOVE CCG,ALL SUSPECTED CANCER,1026,994,32,0.96881091617933701,ALL CANCERS TWO WEEK WAIT,2020-12-01
15C,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE CCG",ALL SUSPECTED CANCER,3300,2463,837,0.74636363636363601,ALL CANCERS TWO WEEK WAIT,2020-12-01
14Y,NHS BUCKINGHAMSHIRE CCG,ALL SUSPECTED CANCER,1965,1870,95,0.95165394402035597,ALL CANCERS TWO WEEK WAIT,2020-12-01
00V,NHS BURY CCG,ALL SUSPECTED CANCER,667,525,142,0.78710644677661201,ALL CANCERS TWO WEEK WAIT,2020-12-01
02T,NHS CALDERDALE CCG,ALL SUSPECTED CANCER,773,766,7,0.99094437257438595,ALL CANCERS TWO WEEK WAIT,2020-12-01
06H,NHS CAMBRIDGESHIRE AND PETERBOROUGH CCG,ALL SUSPECTED CANCER,2901,2472,429,0.85211995863495305,ALL CANCERS TWO WEEK WAIT,2020-12-01
04Y,NHS CANNOCK CHASE CCG,ALL SUSPECTED CANCER,519,463,56,0.89210019267822704,ALL CANCERS TWO WEEK WAIT,2020-12-01
99F,NHS CASTLE POINT AND ROCHFORD CCG,ALL SUSPECTED CANCER,668,593,75,,ALL CANCERS TWO WEEK WAIT,2020-12-01
09A,NHS CENTRAL LONDON (WESTMINSTER) CCG,ALL SUSPECTED CANCER,553,518,35,0.936708860759494,ALL CANCERS TWO WEEK WAIT,2020-12-01
27D,NHS CHESHIRE CCG,ALL SUSPECTED CANCER,3004,2731,273,0.90912117177097196,ALL CANCERS TWO WEEK WAIT,2020-12-01
00X,NHS CHORLEY AND SOUTH RIBBLE CCG,ALL SUSPECTED CANCER,762,573,189,0.75196850393700798,ALL CANCERS TWO WEEK WAIT,2020-12-01
07T,NHS CITY AND HACKNEY CCG,ALL SUSPECTED CANCER,764,739,25,0.96727748691099502,ALL CANCERS TWO WEEK WAIT,2020-12-01
84H,NHS COUNTY DURHAM CCG,ALL SUSPECTED CANCER,1805,1534,271,0.84986149584487503,ALL CANCERS TWO WEEK WAIT,2020-12-01
05A,NHS COVENTRY AND RUGBY CCG,ALL SUSPECTED CANCER,1652,1608,44,0.97336561743341399,ALL CANCERS TWO WEEK WAIT,2020-12-01
15M,NHS DERBY AND DERBYSHIRE CCG,ALL SUSPECTED CANCER,3442,2893,549,0.84049970947123798,ALL CANCERS TWO WEEK WAIT,2020-12-01
15N,NHS DEVON CCG,ALL SUSPECTED CANCER,5002,3797,1205,0.75909636145541803,ALL CANCERS TWO WEEK WAIT,2020-12-01
02X,NHS DONCASTER CCG,ALL SUSPECTED CANCER,1091,880,211,,ALL CANCERS TWO WEEK WAIT,2020-12-01
11J,NHS DORSET CCG,ALL SUSPECTED CANCER,3212,2587,625,,ALL CANCERS TWO WEEK WAIT,2020-12-01
05C,NHS DUDLEY CCG,ALL SUSPECTED CANCER,1065,994,71,0.93333333333333302,ALL CANCERS TWO WEEK WAIT,2020-12-01
07W,NHS EALING CCG,ALL SUSPECTED CANCER,1272,1221,51,0.95990566037735803,ALL CANCERS TWO WEEK WAIT,2020-12-01
06K,NHS EAST AND NORTH HERTFORDSHIRE CCG,ALL SUSPECTED CANCER,1979,1882,97,0.95098534613441099,ALL CANCERS TWO WEEK WAIT,2020-12-01
15D,NHS EAST BERKSHIRE CCG,ALL SUSPECTED CANCER,1266,1144,122,0.90363349131121595,ALL CANCERS TWO WEEK WAIT,2020-12-01
