ccg_code,ccg_name,cancer_type,total_treated,within_standard,braches,performance,standard,period
13Q,NATIONAL COMMISSIONING HUB 1,ALL SUSPECTED CANCER,188,162,26,0.861702127659574,ALL CANCERS TWO WEEK WAIT,2021-02-01
07L,NHS BARKING AND DAGENHAM CCG,ALL SUSPECTED CANCER,541,519,22,0.959334565619224,ALL CANCERS TWO WEEK WAIT,2021-02-01
02P,NHS BARNSLEY CCG,ALL SUSPECTED CANCER,777,753,24,0.969111969111969,ALL CANCERS TWO WEEK WAIT,2021-02-01
99E,NHS BASILDON AND BRENTWOOD CCG,ALL SUSPECTED CANCER,1019,991,28,,ALL CANCERS TWO WEEK WAIT,2021-02-01
02Q,NHS BASSETLAW CCG,ALL SUSPECTED CANCER,318,220,98,,ALL CANCERS TWO WEEK WAIT,2021-02-01
92G,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE CCG",ALL SUSPECTED CANCER,2702,2310,392,0.854922279792746,ALL CANCERS TWO WEEK WAIT,2021-02-01
06F,NHS BEDFORDSHIRE CCG,ALL SUSPECTED CANCER,1443,1366,77,0.946638946638947,ALL CANCERS TWO WEEK WAIT,2021-02-01
15A,NHS BERKSHIRE WEST CCG,ALL SUSPECTED CANCER,1262,1222,40,0.968304278922345,ALL CANCERS TWO WEEK WAIT,2021-02-01
15E,NHS BIRMINGHAM AND SOLIHULL CCG,ALL SUSPECTED CANCER,3595,2171,1424,0.603894297635605,ALL CANCERS TWO WEEK WAIT,2021-02-01
00Q,NHS BLACKBURN WITH DARWEN CCG,ALL SUSPECTED CANCER,472,463,9,,ALL CANCERS TWO WEEK WAIT,2021-02-01
00R,NHS BLACKPOOL CCG,ALL SUSPECTED CANCER,515,500,15,0.970873786407767,ALL CANCERS TWO WEEK WAIT,2021-02-01
00T,NHS BOLTON CCG,ALL SUSPECTED CANCER,811,783,28,0.965474722564735,ALL CANCERS TWO WEEK WAIT,2021-02-01
36J,NHS BRADFORD DISTRICT AND CRAVEN CCG,ALL SUSPECTED CANCER,1817,1755,62,0.965877820583379,ALL CANCERS TWO WEEK WAIT,2021-02-01
07P,NHS BRENT CCG,ALL SUSPECTED CANCER,930,882,48,0.948387096774194,ALL CANCERS TWO WEEK WAIT,2021-02-01
09D,NHS BRIGHTON AND HOVE CCG,ALL SUSPECTED CANCER,804,798,6,0.992537313432836,ALL CANCERS TWO WEEK WAIT,2021-02-01
15C,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE CCG",ALL SUSPECTED CANCER,3018,2456,562,0.813783962889331,ALL CANCERS TWO WEEK WAIT,2021-02-01
14Y,NHS BUCKINGHAMSHIRE CCG,ALL SUSPECTED CANCER,1564,1524,40,0.974424552429668,ALL CANCERS TWO WEEK WAIT,2021-02-01
00V,NHS BURY CCG,ALL SUSPECTED CANCER,645,569,76,0.882170542635659,ALL CANCERS TWO WEEK WAIT,2021-02-01
02T,NHS CALDERDALE CCG,ALL SUSPECTED CANCER,592,585,7,0.988175675675676,ALL CANCERS TWO WEEK WAIT,2021-02-01
06H,NHS CAMBRIDGESHIRE AND PETERBOROUGH CCG,ALL SUSPECTED CANCER,2467,2234,233,0.905553303607621,ALL CANCERS TWO WEEK WAIT,2021-02-01
04Y,NHS CANNOCK CHASE CCG,ALL SUSPECTED CANCER,470,353,117,0.751063829787234,ALL CANCERS TWO WEEK WAIT,2021-02-01
99F,NHS CASTLE POINT AND ROCHFORD CCG,ALL SUSPECTED CANCER,581,526,55,,ALL CANCERS TWO WEEK WAIT,2021-02-01
09A,NHS CENTRAL LONDON (WESTMINSTER) CCG,ALL SUSPECTED CANCER,434,415,19,0.956221198156682,ALL CANCERS TWO WEEK WAIT,2021-02-01
27D,NHS CHESHIRE CCG,ALL SUSPECTED CANCER,2454,2222,232,0.905460472697637,ALL CANCERS TWO WEEK WAIT,2021-02-01
