ccg_code,ccg_name,cancer_type,total_treated,within_standard,braches,performance,standard,period
13Q,NATIONAL COMMISSIONING HUB 1,ALL SUSPECTED CANCER,154,111,43,0.72077922077922096,ALL CANCERS TWO WEEK WAIT,2021-01-01
07L,NHS BARKING AND DAGENHAM CCG,ALL SUSPECTED CANCER,525,493,32,0.93904761904761902,ALL CANCERS TWO WEEK WAIT,2021-01-01
02P,NHS BARNSLEY CCG,ALL SUSPECTED CANCER,753,694,59,0.92164674634794197,ALL CANCERS TWO WEEK WAIT,2021-01-01
99E,NHS BASILDON AND BRENTWOOD CCG,ALL SUSPECTED CANCER,911,835,76,,ALL CANCERS TWO WEEK WAIT,2021-01-01
02Q,NHS BASSETLAW CCG,ALL SUSPECTED CANCER,323,233,90,,ALL CANCERS TWO WEEK WAIT,2021-01-01
92G,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE CCG",ALL SUSPECTED CANCER,2715,2133,582,0.785635359116022,ALL CANCERS TWO WEEK WAIT,2021-01-01
06F,NHS BEDFORDSHIRE CCG,ALL SUSPECTED CANCER,1352,1147,205,0.84837278106508895,ALL CANCERS TWO WEEK WAIT,2021-01-01
15A,NHS BERKSHIRE WEST CCG,ALL SUSPECTED CANCER,1229,1148,81,0.93409275834011396,ALL CANCERS TWO WEEK WAIT,2021-01-01
15E,NHS BIRMINGHAM AND SOLIHULL CCG,ALL SUSPECTED CANCER,3279,1373,1906,0.41872522110399502,ALL CANCERS TWO WEEK WAIT,2021-01-01
00Q,NHS BLACKBURN WITH DARWEN CCG,ALL SUSPECTED CANCER,420,391,29,,ALL CANCERS TWO WEEK WAIT,2021-01-01
00R,NHS BLACKPOOL CCG,ALL SUSPECTED CANCER,521,496,25,0.95201535508637203,ALL CANCERS TWO WEEK WAIT,2021-01-01
00T,NHS BOLTON CCG,ALL SUSPECTED CANCER,840,769,71,0.91547619047619,ALL CANCERS TWO WEEK WAIT,2021-01-01
