ccg_code,ccg_name,cancer_type,total_treated,within_standard,braches,performance,standard,period
13Q,NATIONAL COMMISSIONING HUB 1,ALL SUSPECTED CANCER,159,146,13,0.918238993710692,ALL CANCERS TWO WEEK WAIT,2020-07-01
07L,NHS BARKING AND DAGENHAM CCG,ALL SUSPECTED CANCER,539,348,191,0.645640074211503,ALL CANCERS TWO WEEK WAIT,2020-07-01
02P,NHS BARNSLEY CCG,ALL SUSPECTED CANCER,795,782,13,0.983647798742138,ALL CANCERS TWO WEEK WAIT,2020-07-01
99E,NHS BASILDON AND BRENTWOOD CCG,ALL SUSPECTED CANCER,1008,966,42,,ALL CANCERS TWO WEEK WAIT,2020-07-01
02Q,NHS BASSETLAW CCG,ALL SUSPECTED CANCER,340,307,33,,ALL CANCERS TWO WEEK WAIT,2020-07-01
92G,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE CCG",ALL SUSPECTED CANCER,2931,2737,194,0.9338109860116,ALL CANCERS TWO WEEK WAIT,2020-07-01
06F,NHS BEDFORDSHIRE CCG,ALL SUSPECTED CANCER,1449,1329,120,0.917184265010352,ALL CANCERS TWO WEEK WAIT,2020-07-01
15A,NHS BERKSHIRE WEST CCG,ALL SUSPECTED CANCER,1391,1283,108,0.92235801581596,ALL CANCERS TWO WEEK WAIT,2020-07-01
15E,NHS BIRMINGHAM AND SOLIHULL CCG,ALL SUSPECTED CANCER,3118,1862,1256,0.597177677998717,ALL CANCERS TWO WEEK WAIT,2020-07-01
00Q,NHS BLACKBURN WITH DARWEN CCG,ALL SUSPECTED CANCER,435,402,33,,ALL CANCERS TWO WEEK WAIT,2020-07-01
00R,NHS BLACKPOOL CCG,ALL SUSPECTED CANCER,564,549,15,0.973404255319149,ALL CANCERS TWO WEEK WAIT,2020-07-01
00T,NHS BOLTON CCG,ALL SUSPECTED CANCER,775,730,45,0.941935483870968,ALL CANCERS TWO WEEK WAIT,2020-07-01
36J,NHS BRADFORD DISTRICT AND CRAVEN CCG,ALL SUSPECTED CANCER,1938,1875,63,0.967492260061919,ALL CANCERS TWO WEEK WAIT,2020-07-01
07P,NHS BRENT CCG,ALL SUSPECTED CANCER,924,874,50,0.945887445887446,ALL CANCERS TWO WEEK WAIT,2020-07-01
09D,NHS BRIGHTON AND HOVE CCG,ALL SUSPECTED CANCER,900,776,124,0.862222222222222,ALL CANCERS TWO WEEK WAIT,2020-07-01
15C,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE CCG",ALL SUSPECTED CANCER,3210,2765,445,0.861370716510903,ALL CANCERS TWO WEEK WAIT,2020-07-01
14Y,NHS BUCKINGHAMSHIRE CCG,ALL SUSPECTED CANCER,1742,1703,39,0.977611940298508,ALL CANCERS TWO WEEK WAIT,2020-07-01
00V,NHS BURY CCG,ALL SUSPECTED CANCER,680,634,46,0.932352941176471,ALL CANCERS TWO WEEK WAIT,2020-07-01
