ccg_code,ccg_name,cancer_type,total_treated,within_standard,braches,performance,standard,period
13Q,NATIONAL COMMISSIONING HUB 1,ALL SUSPECTED CANCER,223,185,38,0.829596412556054,ALL CANCERS TWO WEEK WAIT,2021-06-01
02P,NHS BARNSLEY CCG,ALL SUSPECTED CANCER,965,873,92,0.904663212435233,ALL CANCERS TWO WEEK WAIT,2021-06-01
99E,NHS BASILDON AND BRENTWOOD CCG,ALL SUSPECTED CANCER,1283,1151,132,,ALL CANCERS TWO WEEK WAIT,2021-06-01
02Q,NHS BASSETLAW CCG,ALL SUSPECTED CANCER,458,384,74,,ALL CANCERS TWO WEEK WAIT,2021-06-01
92G,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE CCG",ALL SUSPECTED CANCER,3730,2883,847,0.772922252010724,ALL CANCERS TWO WEEK WAIT,2021-06-01
M1J4Y,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES CCG",ALL SUSPECTED CANCER,3601,2964,637,0.823104693140794,ALL CANCERS TWO WEEK WAIT,2021-06-01
15A,NHS BERKSHIRE WEST CCG,ALL SUSPECTED CANCER,1751,1634,117,0.933181039406054,ALL CANCERS TWO WEEK WAIT,2021-06-01
15E,NHS BIRMINGHAM AND SOLIHULL CCG,ALL SUSPECTED CANCER,4357,3168,1189,0.727105806747762,ALL CANCERS TWO WEEK WAIT,2021-06-01
D2P2L,NHS BLACK COUNTRY AND WEST BIRMINGHAM CCG,ALL SUSPECTED CANCER,5056,4081,975,0.807159810126582,ALL CANCERS TWO WEEK WAIT,2021-06-01
00Q,NHS BLACKBURN WITH DARWEN CCG,ALL SUSPECTED CANCER,9,9,0,,ALL CANCERS TWO WEEK WAIT,2021-06-01
00R,NHS BLACKPOOL CCG,ALL SUSPECTED CANCER,743,710,33,0.955585464333782,ALL CANCERS TWO WEEK WAIT,2021-06-01
00T,NHS BOLTON CCG,ALL SUSPECTED CANCER,1074,1031,43,0.959962756052142,ALL CANCERS TWO WEEK WAIT,2021-06-01
36J,NHS BRADFORD DISTRICT AND CRAVEN CCG,ALL SUSPECTED CANCER,2167,2063,104,0.952007383479465,ALL CANCERS TWO WEEK WAIT,2021-06-01
09D,NHS BRIGHTON AND HOVE CCG,ALL SUSPECTED CANCER,1156,1106,50,0.956747404844291,ALL CANCERS TWO WEEK WAIT,2021-06-01
