ccg_code,ccg_name,cancer_type,total_treated,within_standard,braches,performance,standard,period
13Q,NATIONAL COMMISSIONING HUB 1,ALL SUSPECTED CANCER,226,200,26,0.884955752212389,ALL CANCERS TWO WEEK WAIT,2021-03-01
07L,NHS BARKING AND DAGENHAM CCG,ALL SUSPECTED CANCER,637,606,31,0.951334379905808,ALL CANCERS TWO WEEK WAIT,2021-03-01
02P,NHS BARNSLEY CCG,ALL SUSPECTED CANCER,1061,1028,33,0.9688972667295,ALL CANCERS TWO WEEK WAIT,2021-03-01
99E,NHS BASILDON AND BRENTWOOD CCG,ALL SUSPECTED CANCER,1210,1180,30,,ALL CANCERS TWO WEEK WAIT,2021-03-01
02Q,NHS BASSETLAW CCG,ALL SUSPECTED CANCER,489,370,119,,ALL CANCERS TWO WEEK WAIT,2021-03-01
92G,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE CCG",ALL SUSPECTED CANCER,3811,3248,563,0.852269745473629,ALL CANCERS TWO WEEK WAIT,2021-03-01
06F,NHS BEDFORDSHIRE CCG,ALL SUSPECTED CANCER,1962,1840,122,0.937818552497452,ALL CANCERS TWO WEEK WAIT,2021-03-01
15A,NHS BERKSHIRE WEST CCG,ALL SUSPECTED CANCER,1748,1679,69,0.960526315789474,ALL CANCERS TWO WEEK WAIT,2021-03-01
15E,NHS BIRMINGHAM AND SOLIHULL CCG,ALL SUSPECTED CANCER,4186,2581,1605,0.616579073100812,ALL CANCERS TWO WEEK WAIT,2021-03-01
00Q,NHS BLACKBURN WITH DARWEN CCG,ALL SUSPECTED CANCER,505,482,23,,ALL CANCERS TWO WEEK WAIT,2021-03-01
00R,NHS BLACKPOOL CCG,ALL SUSPECTED CANCER,767,737,30,0.960886571056063,ALL CANCERS TWO WEEK WAIT,2021-03-01
00T,NHS BOLTON CCG,ALL SUSPECTED CANCER,1129,1103,26,0.976970770593446,ALL CANCERS TWO WEEK WAIT,2021-03-01
36J,NHS BRADFORD DISTRICT AND CRAVEN CCG,ALL SUSPECTED CANCER,2095,2006,89,0.957517899761336,ALL CANCERS TWO WEEK WAIT,2021-03-01
07P,NHS BRENT CCG,ALL SUSPECTED CANCER,1263,1207,56,0.955661124307205,ALL CANCERS TWO WEEK WAIT,2021-03-01
09D,NHS BRIGHTON AND HOVE CCG,ALL SUSPECTED CANCER,1201,1170,31,0.974188176519567,ALL CANCERS TWO WEEK WAIT,2021-03-01
15C,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE CCG",ALL SUSPECTED CANCER,3919,3006,913,0.767032406226078,ALL CANCERS TWO WEEK WAIT,2021-03-01
14Y,NHS BUCKINGHAMSHIRE CCG,ALL SUSPECTED CANCER,2207,2150,57,0.974173085636611,ALL CANCERS TWO WEEK WAIT,2021-03-01
00V,NHS BURY CCG,ALL SUSPECTED CANCER,717,656,61,0.914923291492329,ALL CANCERS TWO WEEK WAIT,2021-03-01
02T,NHS CALDERDALE CCG,ALL SUSPECTED CANCER,931,917,14,0.984962406015038,ALL CANCERS TWO WEEK WAIT,2021-03-01
06H,NHS CAMBRIDGESHIRE AND PETERBOROUGH CCG,ALL SUSPECTED CANCER,3388,3091,297,0.912337662337662,ALL CANCERS TWO WEEK WAIT,2021-03-01
04Y,NHS CANNOCK CHASE CCG,ALL SUSPECTED CANCER,558,463,95,0.829749103942652,ALL CANCERS TWO WEEK WAIT,2021-03-01
99F,NHS CASTLE POINT AND ROCHFORD CCG,ALL SUSPECTED CANCER,730,689,41,,ALL CANCERS TWO WEEK WAIT,2021-03-01
09A,NHS CENTRAL LONDON (WESTMINSTER) CCG,ALL SUSPECTED CANCER,668,648,20,0.970059880239521,ALL CANCERS TWO WEEK WAIT,2021-03-01
27D,NHS CHESHIRE CCG,ALL SUSPECTED CANCER,3406,3055,351,0.896946564885496,ALL CANCERS TWO WEEK WAIT,2021-03-01
00X,NHS CHORLEY AND SOUTH RIBBLE CCG,ALL SUSPECTED CANCER,843,780,63,0.925266903914591,ALL CANCERS TWO WEEK WAIT,2021-03-01
07T,NHS CITY AND HACKNEY CCG,ALL SUSPECTED CANCER,960,932,28,0.970833333333333,ALL CANCERS TWO WEEK WAIT,2021-03-01
84H,NHS COUNTY DURHAM CCG,ALL SUSPECTED CANCER,2048,1780,268,0.869140625,ALL CANCERS TWO WEEK WAIT,2021-03-01
