ccg_code,ccg_name,cancer_type,total_treated,within_standard,braches,performance,standard,period
13Q,NATIONAL COMMISSIONING HUB 1,ALL SUSPECTED CANCER,186,153,33,0.82258064516129,ALL CANCERS TWO WEEK WAIT,2021-05-01
02P,NHS BARNSLEY CCG,ALL SUSPECTED CANCER,842,750,92,0.890736342042755,ALL CANCERS TWO WEEK WAIT,2021-05-01
99E,NHS BASILDON AND BRENTWOOD CCG,ALL SUSPECTED CANCER,1158,1094,64,,ALL CANCERS TWO WEEK WAIT,2021-05-01
02Q,NHS BASSETLAW CCG,ALL SUSPECTED CANCER,367,280,87,,ALL CANCERS TWO WEEK WAIT,2021-05-01
92G,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE CCG",ALL SUSPECTED CANCER,3350,2580,770,0.770149253731343,ALL CANCERS TWO WEEK WAIT,2021-05-01
M1J4Y,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES CCG",ALL SUSPECTED CANCER,3307,2809,498,0.849410341699425,ALL CANCERS TWO WEEK WAIT,2021-05-01
15A,NHS BERKSHIRE WEST CCG,ALL SUSPECTED CANCER,1556,1477,79,0.949228791773779,ALL CANCERS TWO WEEK WAIT,2021-05-01
15E,NHS BIRMINGHAM AND SOLIHULL CCG,ALL SUSPECTED CANCER,3551,2708,843,0.762602083920022,ALL CANCERS TWO WEEK WAIT,2021-05-01
D2P2L,NHS BLACK COUNTRY AND WEST BIRMINGHAM CCG,ALL SUSPECTED CANCER,4549,3665,884,0.805671576170587,ALL CANCERS TWO WEEK WAIT,2021-05-01
00Q,NHS BLACKBURN WITH DARWEN CCG,ALL SUSPECTED CANCER,459,438,21,,ALL CANCERS TWO WEEK WAIT,2021-05-01
00R,NHS BLACKPOOL CCG,ALL SUSPECTED CANCER,698,653,45,0.935530085959885,ALL CANCERS TWO WEEK WAIT,2021-05-01
00T,NHS BOLTON CCG,ALL SUSPECTED CANCER,968,944,24,0.975206611570248,ALL CANCERS TWO WEEK WAIT,2021-05-01
36J,NHS BRADFORD DISTRICT AND CRAVEN CCG,ALL SUSPECTED CANCER,1902,1848,54,0.971608832807571,ALL CANCERS TWO WEEK WAIT,2021-05-01
09D,NHS BRIGHTON AND HOVE CCG,ALL SUSPECTED CANCER,1111,1066,45,0.95949594959496,ALL CANCERS TWO WEEK WAIT,2021-05-01
15C,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE CCG",ALL SUSPECTED CANCER,3389,2087,1302,0.615815874889348,ALL CANCERS TWO WEEK WAIT,2021-05-01
14Y,NHS BUCKINGHAMSHIRE CCG,ALL SUSPECTED CANCER,1972,1901,71,0.963995943204868,ALL CANCERS TWO WEEK WAIT,2021-05-01
00V,NHS BURY CCG,ALL SUSPECTED CANCER,777,637,140,0.81981981981982,ALL CANCERS TWO WEEK WAIT,2021-05-01
02T,NHS CALDERDALE CCG,ALL SUSPECTED CANCER,776,768,8,0.989690721649485,ALL CANCERS TWO WEEK WAIT,2021-05-01
06H,NHS CAMBRIDGESHIRE AND PETERBOROUGH CCG,ALL SUSPECTED CANCER,2913,2499,414,0.857878475798146,ALL CANCERS TWO WEEK WAIT,2021-05-01
04Y,NHS CANNOCK CHASE CCG,ALL SUSPECTED CANCER,566,462,104,0.816254416961131,ALL CANCERS TWO WEEK WAIT,2021-05-01
