ccg_code,ccg_name,cancer_type,total_treated,within_standard,braches,performance,standard,period
13Q,NATIONAL COMMISSIONING HUB 1,ALL SUSPECTED CANCER,203,169,34,0.83251231527093605,ALL CANCERS TWO WEEK WAIT,2020-11-01
07L,NHS BARKING AND DAGENHAM CCG,ALL SUSPECTED CANCER,624,609,15,0.97596153846153799,ALL CANCERS TWO WEEK WAIT,2020-11-01
02P,NHS BARNSLEY CCG,ALL SUSPECTED CANCER,829,803,26,0.968636911942099,ALL CANCERS TWO WEEK WAIT,2020-11-01
99E,NHS BASILDON AND BRENTWOOD CCG,ALL SUSPECTED CANCER,1160,1084,76,,ALL CANCERS TWO WEEK WAIT,2020-11-01
02Q,NHS BASSETLAW CCG,ALL SUSPECTED CANCER,383,305,78,,ALL CANCERS TWO WEEK WAIT,2020-11-01
92G,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE CCG",ALL SUSPECTED CANCER,3504,2735,769,0.78053652968036502,ALL CANCERS TWO WEEK WAIT,2020-11-01
06F,NHS BEDFORDSHIRE CCG,ALL SUSPECTED CANCER,1772,1502,270,0.84762979683972905,ALL CANCERS TWO WEEK WAIT,2020-11-01
15A,NHS BERKSHIRE WEST CCG,ALL SUSPECTED CANCER,1595,1406,189,0.88150470219435695,ALL CANCERS TWO WEEK WAIT,2020-11-01
15E,NHS BIRMINGHAM AND SOLIHULL CCG,ALL SUSPECTED CANCER,3727,1990,1737,0.533941507915213,ALL CANCERS TWO WEEK WAIT,2020-11-01
00Q,NHS BLACKBURN WITH DARWEN CCG,ALL SUSPECTED CANCER,454,425,29,,ALL CANCERS TWO WEEK WAIT,2020-11-01
00R,NHS BLACKPOOL CCG,ALL SUSPECTED CANCER,615,585,30,0.95121951219512202,ALL CANCERS TWO WEEK WAIT,2020-11-01
00T,NHS BOLTON CCG,ALL SUSPECTED CANCER,967,924,43,0.95553257497414701,ALL CANCERS TWO WEEK WAIT,2020-11-01
36J,NHS BRADFORD DISTRICT AND CRAVEN CCG,ALL SUSPECTED CANCER,2068,1903,165,0.92021276595744705,ALL CANCERS TWO WEEK WAIT,2020-11-01
07P,NHS BRENT CCG,ALL SUSPECTED CANCER,1104,1028,76,0.93115942028985499,ALL CANCERS TWO WEEK WAIT,2020-11-01
09D,NHS BRIGHTON AND HOVE CCG,ALL SUSPECTED CANCER,997,959,38,0.96188565697091299,ALL CANCERS TWO WEEK WAIT,2020-11-01
15C,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE CCG",ALL SUSPECTED CANCER,3577,2985,592,0.83449818283477795,ALL CANCERS TWO WEEK WAIT,2020-11-01
14Y,NHS BUCKINGHAMSHIRE CCG,ALL SUSPECTED CANCER,2036,1982,54,0.97347740667976401,ALL CANCERS TWO WEEK WAIT,2020-11-01
00V,NHS BURY CCG,ALL SUSPECTED CANCER,768,645,123,0.83984375,ALL CANCERS TWO WEEK WAIT,2020-11-01
02T,NHS CALDERDALE CCG,ALL SUSPECTED CANCER,776,759,17,0.97809278350515505,ALL CANCERS TWO WEEK WAIT,2020-11-01
06H,NHS CAMBRIDGESHIRE AND PETERBOROUGH CCG,ALL SUSPECTED CANCER,2920,2587,333,0.885958904109589,ALL CANCERS TWO WEEK WAIT,2020-11-01
