ccg_code,ccg_name,cancer_type,total_treated,within_standard,braches,performance,standard,period
13Q,NATIONAL COMMISSIONING HUB 1,ALL SUSPECTED CANCER,185,155,30,0.837837837837838,ALL CANCERS TWO WEEK WAIT,2020-10-01
07L,NHS BARKING AND DAGENHAM CCG,ALL SUSPECTED CANCER,590,569,21,0.964406779661017,ALL CANCERS TWO WEEK WAIT,2020-10-01
02P,NHS BARNSLEY CCG,ALL SUSPECTED CANCER,888,848,40,0.954954954954955,ALL CANCERS TWO WEEK WAIT,2020-10-01
99E,NHS BASILDON AND BRENTWOOD CCG,ALL SUSPECTED CANCER,1101,1056,45,,ALL CANCERS TWO WEEK WAIT,2020-10-01
02Q,NHS BASSETLAW CCG,ALL SUSPECTED CANCER,354,331,23,,ALL CANCERS TWO WEEK WAIT,2020-10-01
92G,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE CCG",ALL SUSPECTED CANCER,3303,2760,543,0.835603996366939,ALL CANCERS TWO WEEK WAIT,2020-10-01
06F,NHS BEDFORDSHIRE CCG,ALL SUSPECTED CANCER,1630,1449,181,0.888957055214724,ALL CANCERS TWO WEEK WAIT,2020-10-01
15A,NHS BERKSHIRE WEST CCG,ALL SUSPECTED CANCER,1415,1339,76,0.946289752650177,ALL CANCERS TWO WEEK WAIT,2020-10-01
15E,NHS BIRMINGHAM AND SOLIHULL CCG,ALL SUSPECTED CANCER,3697,2055,1642,0.555856099540168,ALL CANCERS TWO WEEK WAIT,2020-10-01
00Q,NHS BLACKBURN WITH DARWEN CCG,ALL SUSPECTED CANCER,484,460,24,,ALL CANCERS TWO WEEK WAIT,2020-10-01
00R,NHS BLACKPOOL CCG,ALL SUSPECTED CANCER,621,596,25,0.959742351046699,ALL CANCERS TWO WEEK WAIT,2020-10-01
00T,NHS BOLTON CCG,ALL SUSPECTED CANCER,909,877,32,0.964796479647965,ALL CANCERS TWO WEEK WAIT,2020-10-01
36J,NHS BRADFORD DISTRICT AND CRAVEN CCG,ALL SUSPECTED CANCER,2111,1986,125,0.940786357176693,ALL CANCERS TWO WEEK WAIT,2020-10-01
07P,NHS BRENT CCG,ALL SUSPECTED CANCER,1114,1043,71,0.936265709156194,ALL CANCERS TWO WEEK WAIT,2020-10-01
09D,NHS BRIGHTON AND HOVE CCG,ALL SUSPECTED CANCER,1077,1034,43,0.960074280408542,ALL CANCERS TWO WEEK WAIT,2020-10-01
15C,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE CCG",ALL SUSPECTED CANCER,3703,2843,860,0.767755873615987,ALL CANCERS TWO WEEK WAIT,2020-10-01
