ccg_code,ccg_name,cancer_type,total_treated,within_standard,braches,performance,standard,period
13Q,NATIONAL COMMISSIONING HUB 1,ALL SUSPECTED CANCER,221,180,41,0.81447963800905,ALL CANCERS TWO WEEK WAIT,2021-09-01
02P,NHS BARNSLEY CCG,ALL SUSPECTED CANCER,909,859,50,0.944994499449945,ALL CANCERS TWO WEEK WAIT,2021-09-01
99E,NHS BASILDON AND BRENTWOOD CCG,ALL SUSPECTED CANCER,1178,866,312,,ALL CANCERS TWO WEEK WAIT,2021-09-01
02Q,NHS BASSETLAW CCG,ALL SUSPECTED CANCER,487,442,45,,ALL CANCERS TWO WEEK WAIT,2021-09-01
92G,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE CCG",ALL SUSPECTED CANCER,3670,3120,550,0.850136239782016,ALL CANCERS TWO WEEK WAIT,2021-09-01
M1J4Y,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES CCG",ALL SUSPECTED CANCER,3509,3057,452,0.871188372755771,ALL CANCERS TWO WEEK WAIT,2021-09-01
15A,NHS BERKSHIRE WEST CCG,ALL SUSPECTED CANCER,1861,1735,126,0.932294465341214,ALL CANCERS TWO WEEK WAIT,2021-09-01
15E,NHS BIRMINGHAM AND SOLIHULL CCG,ALL SUSPECTED CANCER,4309,3766,543,0.873984683221165,ALL CANCERS TWO WEEK WAIT,2021-09-01
D2P2L,NHS BLACK COUNTRY AND WEST BIRMINGHAM CCG,ALL SUSPECTED CANCER,5123,3958,1165,0.772594183095842,ALL CANCERS TWO WEEK WAIT,2021-09-01
00Q,NHS BLACKBURN WITH DARWEN CCG,ALL SUSPECTED CANCER,561,505,56,,ALL CANCERS TWO WEEK WAIT,2021-09-01
00R,NHS BLACKPOOL CCG,ALL SUSPECTED CANCER,768,679,89,0.884114583333333,ALL CANCERS TWO WEEK WAIT,2021-09-01
00T,NHS BOLTON CCG,ALL SUSPECTED CANCER,1074,1048,26,0.975791433891993,ALL CANCERS TWO WEEK WAIT,2021-09-01
36J,NHS BRADFORD DISTRICT AND CRAVEN CCG,ALL SUSPECTED CANCER,2279,2082,197,0.913558578323826,ALL CANCERS TWO WEEK WAIT,2021-09-01
09D,NHS BRIGHTON AND HOVE CCG,ALL SUSPECTED CANCER,1179,1102,77,0.934690415606446,ALL CANCERS TWO WEEK WAIT,2021-09-01
15C,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE CCG",ALL SUSPECTED CANCER,3476,2247,1229,0.646432681242808,ALL CANCERS TWO WEEK WAIT,2021-09-01
14Y,NHS BUCKINGHAMSHIRE CCG,ALL SUSPECTED CANCER,2165,2053,112,0.948267898383372,ALL CANCERS TWO WEEK WAIT,2021-09-01
00V,NHS BURY CCG,ALL SUSPECTED CANCER,920,709,211,0.770652173913044,ALL CANCERS TWO WEEK WAIT,2021-09-01
02T,NHS CALDERDALE CCG,ALL SUSPECTED CANCER,799,788,11,0.986232790988736,ALL CANCERS TWO WEEK WAIT,2021-09-01
06H,NHS CAMBRIDGESHIRE AND PETERBOROUGH CCG,ALL SUSPECTED CANCER,3295,2679,616,0.813050075872534,ALL CANCERS TWO WEEK WAIT,2021-09-01
04Y,NHS CANNOCK CHASE CCG,ALL SUSPECTED CANCER,722,591,131,0.818559556786704,ALL CANCERS TWO WEEK WAIT,2021-09-01
99F,NHS CASTLE POINT AND ROCHFORD CCG,ALL SUSPECTED CANCER,826,554,272,,ALL CANCERS TWO WEEK WAIT,2021-09-01
27D,NHS CHESHIRE CCG,ALL SUSPECTED CANCER,3253,2647,606,0.813710421149708,ALL CANCERS TWO WEEK WAIT,2021-09-01
00X,NHS CHORLEY AND SOUTH RIBBLE CCG,ALL SUSPECTED CANCER,821,761,60,0.926918392204628,ALL CANCERS TWO WEEK WAIT,2021-09-01
84H,NHS COUNTY DURHAM CCG,ALL SUSPECTED CANCER,2097,1715,382,0.817835002384359,ALL CANCERS TWO WEEK WAIT,2021-09-01
B2M3M,NHS COVENTRY AND WARWICKSHIRE CCG,ALL SUSPECTED CANCER,3908,3291,617,0.842118730808598,ALL CANCERS TWO WEEK WAIT,2021-09-01
15M,NHS DERBY AND DERBYSHIRE CCG,ALL SUSPECTED CANCER,4008,3511,497,0.875998003992016,ALL CANCERS TWO WEEK WAIT,2021-09-01
15N,NHS DEVON CCG,ALL SUSPECTED CANCER,6222,4238,1984,0.681131468981035,ALL CANCERS TWO WEEK WAIT,2021-09-01
02X,NHS DONCASTER CCG,ALL SUSPECTED CANCER,1150,1074,76,,ALL CANCERS TWO WEEK WAIT,2021-09-01
11J,NHS DORSET CCG,ALL SUSPECTED CANCER,3467,2204,1263,,ALL CANCERS TWO WEEK WAIT,2021-09-01
06K,NHS EAST AND NORTH HERTFORDSHIRE CCG,ALL SUSPECTED CANCER,2029,1798,231,0.886150813208477,ALL CANCERS TWO WEEK WAIT,2021-09-01
