provider_code,postcode
R1A,WR
R1C,SO
R1D,SY
R1E,ST
R1F,PO
R1G,TQ
R1H,E
R1J,GL
RA2,GU
RA3,BS
RA4,BA
RA7,BS
RA9,TQ
RAE,BD
RAJ,SS
RAL,NW
RAN,HA
RAP,N
RAS,UB
RAT,IG
RAX,KT
RBA,TA
RBB,BA
RBD,DT
RBK,WS
RBL,CH
RBN,L
RBQ,L
RBS,L
RBT,CW
RBV,M
RBZ,EX
RC1,MK
RC3,UB
RC9,LU
RCB,YO
RCC,YO
RCD,HG
RCF,BD
RCU,S
RCX,PE
RD1,BA
RD3,BH
RD7,SL
RD8,MK
RDD,SS
RDE,CO
RDR,BN
RDU,GU
RDY,BH
RDZ,BH
RE9,NE
REF,TR
REM,L
REN,CH
REP,L
RET,L
RF4,RM
RFF,S
RFR,S
RFS,S
RFW,TW
RGD,LS
RGM,CB
RGN,PE
RGP,NR
RGQ,IP
RGR,IP
RGT,CB
RH5,TA
RH8,EX
RHA,NG
RHM,SO
RHQ,S
RHU,PO
RHW,RG
RHX,OX
RJ1,SE
RJ2,SE
RJ6,CR
RJ7,SW
RJ8,PL
RJC,CV
RJD,ST
RJE,ST
RJF,DE
RJL,DN
RJN,SK
RJR,CH
RJX,BB
RJZ,SE
RK5,NG
RK9,PL
RKB,CV
RKE,N
RKL,UB
RL1,SY
RL4,WV
RLN,SR
RLQ,HR
RLT,CV
RLU,B
RLY,ST
RM1,NR
RM2,M
RM3,M
RMC,BL
RMP,OL
RMY,NR
RN3,SN
RN5,RG
RN7,DA
RNA,DY
RNK,NW
RNL,CA
RNN,CA
RNQ,NN
RNS,NN
RNU,OX
RNZ,SP
RP1,NN
RP4,WC
RP5,DN
RP6,EC
RP7,NG
RPA,ME
RPC,RH
RPG,DA
RPY,SW
RQ3,B
RQ6,L
RQ8,CM
RQF,CF
RQM,SW
RQQ,PE
RQW,CM
RQX,E
RQY,SW
RR1,B
RR7,NE
RR8,LS
RRD,CM
RRE,ST
RRF,WN
RRJ,B
RRK,B
RRP,N
RRU,SE
RRV,NW
RT1,CB
RT2,OL
RT3,SW
RT4,LL
RT5,LE
RTD,NE
RTE,GL
RTF,NE
RTG,DE
RTH,OX
RTK,KT
RTP,RH
RTQ,GL
RTR,TS
RTV,WA
RTX,LA
RV3,NW
RV5,SE
RV8,HA
RV9,HU
RVJ,BS
RVL,EN
RVN,SN
RVR,SM
RVV,CT
RVW,TS
RVY,PR
RW1,SO
RW3,M
RW4,L
RW5,PR
RW6,M
RWA,HU
RWD,LN
RWE,LE
RWF,ME
RWG,WD
RWH,SG
RWJ,SK
RWK,E
RWN,SS
RWP,WR
RWR,AL
RWV,EX
RWW,WA
RWX,RG
RWY,HD
RX1,NG
RX2,BN
RX3,DL
RX4,NE
RX5,SN
RX6,NE
RX7,BL
RX8,WF
RX9,NG
RXA,CH
RXC,TN
RXE,DN
RXF,WF
RXG,WF
RXH,BN
RXK,B
RXL,FY
RXM,DE
RXN,PR
RXP,DL
RXQ,HP
RXR,BB
RXT,B
RXV,M
RXW,SY
RXX,KT
RXY,ME
RY1,L
RY2,WN
RY3,NR
RY4,AL
RY5,NG
RY6,LS
RY7,CH
RY8,DE
RY9,TW
RYA,DY
RYC,NR
RYD,BN
RYE,RG
RYF,EX
RYG,CV
RYH,E
RYJ,W
RYK,DY
RYQ,DA
RYR,BN
RYT,CF
RYV,PE
RYW,B
RYX,SW
RYY,TN
